t 1 2 3 4 5 6 7 8 9 10 jV0700 
0.00999 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 5 5.01763e-54 5 1.1465e-263 0
0.01002 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 0 3.34286e-57 5 7.63821e-267 0
0.01005 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 0 2.22709e-60 5 5.08875e-270 0
0.01008 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 0 1.48373e-63 5 3.39024e-273 0
0.01011 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 0 9.88497e-67 5 2.25865e-276 0
0.01014 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 0 6.58559e-70 5 1.50477e-279 0
0.01017 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 0 4.38747e-73 5 1.00251e-282 0
0.0102 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 0 2.92303e-76 5 6.67894e-286 0
0.01023 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 0 1.94739e-79 5 4.44966e-289 0
0.01026 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 0 1.29739e-82 5 2.96446e-292 0
0.01029 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 0 8.64353e-86 5 1.97499e-295 0
0.01032 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 0 5.75852e-89 5 1.31579e-298 0
0.01035 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 0 3.83645e-92 5 8.76606e-302 0
0.01038 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 0 2.55593e-95 5 5.84014e-305 0
0.01041 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 0 1.70282e-98 5 3.89084e-308 0
0.01044 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 0 1.13446e-101 5 2.59216e-311 0
0.01047 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 0 7.558e-105 5 1.72696e-314 0
0.0105 3.33286 4.99833 0.0016656 4.99958 0.000416556 5 3.68629e-08 5.03531e-108 5 1.15041e-317 0
0.01053 3.66639 4.99867 0.00183228 4.99967 4.99983 0.00333111 5 3.35464e-111 5 9.87637e-321 0
0.01056 3.66639 4.99867 0.00183228 4.99967 4.99983 2.21926e-06 5 2.23494e-114 5 0 0
0.01059 3.66639 4.99867 0.00183228 4.99967 4.99983 1.47852e-09 5 1.48896e-117 5 0 0
0.01062 3.66639 4.99867 0.00183228 4.99967 4.99983 9.85025e-13 5 9.91982e-121 5 0 0
0.01065 3.66639 4.99867 0.00183228 4.99967 4.99983 6.56246e-16 5 6.60881e-124 5 0 0
0.01068 3.66639 4.99867 0.00183228 4.99967 4.99983 4.37206e-19 5 4.40294e-127 5 0 0
0.01071 3.66639 4.99867 0.00183228 4.99967 4.99983 2.91276e-22 5 2.93333e-130 5 0 0
0.01074 3.66639 4.99867 0.00183228 4.99967 4.99983 1.94055e-25 5 1.95425e-133 5 0 0
0.01077 3.66639 4.99867 0.00183228 4.99967 4.99983 1.29284e-28 5 1.30197e-136 5 0 0
0.0108 3.66639 4.99867 0.00183228 4.99967 4.99983 8.61317e-32 5 8.674e-140 5 0 0
0.01083 3.66639 4.99867 0.00183228 4.99967 4.99983 5.73829e-35 5 5.77882e-143 5 0 0
0.01086 3.66639 4.99867 0.00183228 4.99967 4.99983 3.82298e-38 5 3.84998e-146 5 0 0
0.01089 3.66639 4.99867 0.00183228 4.99967 4.99983 2.54695e-41 5 2.56494e-149 5 0 0
0.01092 3.66639 4.99867 0.00183228 4.99967 4.99983 1.69684e-44 5 1.70882e-152 5 0 0
0.01095 3.66639 4.99867 0.00183228 4.99967 4.99983 1.13047e-47 5 1.13846e-155 5 0 0
0.01098 3.66639 4.99867 0.00183228 4.99967 4.99983 7.53146e-51 5 7.58465e-159 5 0 0
0.01101 3.66639 4.99867 0.00183228 4.99967 4.99983 5.01763e-54 0 5.05306e-162 5 0 0
0.01104 3.66639 4.99867 0.00183228 4.99967 4.99983 3.34286e-57 0 3.36646e-165 5 0 0
0.01107 3.66639 4.99867 0.00183228 4.99967 4.99983 2.22709e-60 0 2.24281e-168 5 0 0
0.0111 3.66639 4.99867 0.00183228 4.99967 4.99983 1.48373e-63 0 1.49421e-171 5 0 0
0.01113 3.66639 4.99867 0.00183228 4.99967 4.99983 9.88497e-67 0 9.95479e-175 5 0 0
0.01116 3.66639 4.99867 0.00183228 4.99967 4.99983 6.58559e-70 0 6.6321e-178 5 0 0
0.01119 3.66639 4.99867 0.00183228 4.99967 4.99983 4.38747e-73 0 4.41846e-181 5 0 0
0.01122 3.66639 4.99867 0.00183228 4.99967 4.99983 2.92303e-76 0 2.94367e-184 5 0 0
0.01125 3.66639 4.99867 0.00183228 4.99967 4.99983 1.94739e-79 0 1.96114e-187 5 0 0
0.01128 3.66639 4.99867 0.00183228 4.99967 4.99983 1.29739e-82 0 1.30656e-190 5 0 0
0.01131 3.66639 4.99867 0.00183228 4.99967 4.99983 8.64353e-86 0 8.70458e-194 5 0 0
0.01134 3.66639 4.99867 0.00183228 4.99967 4.99983 5.75852e-89 0 5.79919e-197 5 0 0
0.01137 3.66639 4.99867 0.00183228 4.99967 4.99983 3.83645e-92 0 3.86355e-200 5 0 0
0.0114 3.66639 4.99867 0.00183228 4.99967 4.99983 2.55593e-95 0 2.57398e-203 5 0 0
0.01143 3.66639 4.99867 0.00183228 4.99967 4.99983 1.70282e-98 0 1.71485e-206 5 0 0
0.01146 3.66639 4.99867 0.00183228 4.99967 4.99983 1.13446e-101 0 1.14247e-209 5 0 0
0.01149 3.66639 4.99867 0.00183228 4.99967 4.99983 7.558e-105 0 7.61138e-213 5 0 0
0.01152 3.9995 4.999 4.9995 0.000999625 0.000499875 4.99667 5 4.99667 0.00333111 0 0
0.01155 3.9995 4.999 4.9995 0.000999625 0.000499875 5 5 5 2.21926e-06 0 0
0.01158 3.9995 4.999 4.9995 0.000999625 0.000499875 5 5 5 1.47852e-09 0 0
0.01161 3.9995 4.999 4.9995 0.000999625 0.000499875 5 5 5 9.85025e-13 0 0
