t 1 2 3 4 5 6 7 jV0700 
2.62e-08 3.55849 0.169452 3.48123 0.316476 5 2.58198 5 0
2.63e-08 3.56481 0.169753 3.48721 0.317019 5 2.56914 5 0
2.64e-08 3.57111 0.170053 3.49316 0.31756 5 2.55635 5 0
2.65e-08 3.57737 0.170351 3.49907 0.318097 5 2.54364 5 0
2.66e-08 3.5836 0.170648 3.50495 0.318632 5 2.53098 5 0
2.67e-08 3.58979 0.170943 3.5108 0.319164 5 2.51839 5 0
2.68e-08 3.59596 0.171236 3.51662 0.319693 5 2.50586 5 0
2.69e-08 3.60209 0.171528 3.52241 0.320219 5 2.49339 5 0
2.7e-08 3.60819 0.171819 3.52816 0.320742 5 2.48099 5 0
2.71e-08 3.61426 0.172108 3.53389 0.321263 5 2.46864 5 0
2.72e-08 3.6203 0.172395 3.53958 0.32178 5 2.45636 5 0
2.73e-08 3.6263 0.172681 3.54524 0.322295 5 2.44414 5 0
2.74e-08 3.63227 0.172965 3.55088 0.322807 5 2.43198 5 0
2.75e-08 3.63822 0.173248 3.55648 0.323316 5 2.41988 5 0
2.76e-08 3.64413 0.17353 3.56205 0.323822 5 2.40784 5 0
2.77e-08 3.65001 0.17381 3.56759 0.324326 5 2.39586 5 0
2.78e-08 3.65586 0.174089 3.5731 0.324827 5 2.38394 5 0
2.79e-08 3.66168 0.174366 3.57858 0.325325 5 2.37208 5 0
2.8e-08 3.66747 0.174641 3.58403 0.325821 5 2.36028 5 0
2.81e-08 3.67323 0.174916 3.58945 0.326314 5 2.34854 5 0
2.82e-08 3.67896 0.175188 3.59484 0.326804 5 2.33686 5 0
2.83e-08 3.68466 0.17546 3.6002 0.327291 5 2.32523 5 0
2.84e-08 3.69033 0.17573 3.60554 0.327776 5 2.31366 5 0
2.85e-08 3.69597 0.175998 3.61084 0.328258 5 2.30215 5 0
2.86e-08 3.70158 0.176266 3.61612 0.328738 5 2.2907 5 0
2.87e-08 3.70716 0.176531 3.62137 0.329215 5 2.2793 5 0
2.88e-08 3.71271 0.176796 3.62658 0.329689 5 2.26796 5 0
2.89e-08 3.71824 0.177059 3.63177 0.330161 5 2.25668 5 0
2.9e-08 3.72373 0.17732 3.63694 0.330631 5 2.24545 5 0
2.91e-08 3.7292 0.177581 3.64207 0.331097 5 2.23428 5 0
2.92e-08 3.73463 0.17784 3.64718 0.331562 5 2.22316 5 0
2.93e-08 3.74004 0.178097 3.65226 0.332023 5 2.2121 5 0
2.94e-08 3.74542 0.178354 3.65731 0.332482 5 2.2011 5 0
2.95e-08 3.75078 0.178608 3.66233 0.332939 5 2.19015 5 0
2.96e-08 3.7561 0.178862 3.66733 0.333393 5 2.17925 5 0
2.97e-08 3.7614 0.179114 3.6723 0.333845 5 2.16841 5 0
2.98e-08 3.76667 0.179365 3.67724 0.334294 5 2.15762 5 0
2.99e-08 3.77191 0.179615 3.68215 0.334741 5 2.14688 5 0
3e-08 3.77713 0.179863 3.68704 0.335186 5 2.1362 5 0
3.01e-08 3.78231 0.18011 3.6919 0.335628 5 2.12558 5 0
3.02e-08 3.78748 0.180356 3.69674 0.336067 5 2.115 5 0
3.03e-08 3.79261 0.1806 3.70155 0.336505 5 2.10448 5 0
3.04e-08 3.79772 0.180844 3.70633 0.336939 5 2.09401 5 0
3.05e-08 3.8028 0.181086 3.71109 0.337372 5 2.08359 5 0
3.06e-08 3.80785 0.181326 3.71582 0.337802 5 2.07322 5 0
3.07e-08 3.81288 0.181566 3.72053 0.33823 5 2.06291 5 0
3.08e-08 3.81788 0.181804 3.72521 0.338656 5 2.05265 5 0
3.09e-08 3.82286 0.182041 3.72987 0.339079 5 2.04243 5 0
3.1e-08 3.82781 0.182276 3.7345 0.3395 5 2.03227 5 0
3.11e-08 3.83273 0.182511 3.7391 0.339918 5 2.02216 5 0
3.12e-08 3.83763 0.182744 3.74368 0.340335 5 2.0121 5 0
3.13e-08 3.8425 0.182976 3.74824 0.340749 5 2.00209 5 0
3.14e-08 3.84735 0.183207 3.75277 0.341161 5 1.99213 5 0
3.15e-08 3.85217 0.183437 3.75727 0.34157 5 1.98222 5 0
3.16e-08 3.85697 0.183665 3.76175 0.341978 5 1.97236 5 0
3.17e-08 3.86174 0.183892 3.76621 0.342383 5 1.96255 5 0
3.18e-08 3.86649 0.184118 3.77064 0.342786 5 1.95278 5 0
3.19e-08 3.87121 0.184343 3.77505 0.343187 5 1.94307 5 0
3.2e-08 3.87591 0.184567 3.77944 0.343585 5 1.9334 5 0
3.21e-08 3.88058 0.184789 3.7838 0.343982 5 1.92378 4.5 0
3.22e-08 3.88523 0.185011 3.78814 0.344376 5 1.91421 4 0
3.23e-08 3.88985 0.185231 3.79245 0.344768 5 1.90469 3.5 0
3.24e-08 3.89445 0.18545 3.79674 0.345158 5 1.89521 3 0
3.25e-08 3.89903 0.185668 3.80101 0.345546 5 1.88578 2.5 0
3.26e-08 3.90358 0.185885 3.80525 0.345932 5 1.8764 2 0
3.27e-08 3.90811 0.1861 3.80947 0.346316 5 1.86706 1.5 0
3.28e-08 3.91262 0.186315 3.81367 0.346697 5 1.85777 1 0
3.29e-08 3.9171 0.186528 3.81785 0.347077 5 1.84853 0.5 0
3.3e-08 3.92156 0.186741 3.822 0.347454 5 1.83933 0 0
3.31e-08 3.92599 0.186952 3.82613 0.34783 5 1.83018 0 0
3.32e-08 3.9304 0.187162 3.83024 0.348203 5 1.82108 0 0
3.33e-08 3.93479 0.187371 3.83432 0.348575 5 1.81202 0 0
3.34e-08 3.93916 0.187579 3.83839 0.348944 5 1.803 0 0
3.35e-08 3.9435 0.187786 3.84243 0.349312 5 1.79403 0 0
3.36e-08 3.94782 0.187992 3.84645 0.349677 5 1.78511 0 0
3.37e-08 3.95212 0.188196 3.85044 0.35004 5 1.77623 0 0
3.38e-08 3.9564 0.1884 3.85442 0.350402 5 1.76739 0 0
3.39e-08 3.96065 0.188602 3.85837 0.350761 5 1.7586 0 0
3.4e-08 3.96488 0.188804 3.86231 0.351119 5 1.74985 0 0
3.41e-08 3.96909 0.189004 3.86622 0.351474 5 1.74114 0 0
3.42e-08 3.97328 0.189204 3.87011 0.351828 5 1.73248 0 0
3.43e-08 3.97745 0.189402 3.87398 0.35218 5 1.72386 0 0
3.44e-08 3.98159 0.1896 3.87783 0.35253 5 1.71528 0 0
3.45e-08 3.98571 0.189796 3.88165 0.352878 5 1.70675 0 0
3.46e-08 3.98981 0.189991 3.88546 0.353224 5 1.69826 0 0
3.47e-08 3.99389 0.190185 3.88925 0.353568 5 1.68981 0 0
3.48e-08 3.99795 0.190379 3.89301 0.35391 5 1.6814 0 0
3.49e-08 4.00199 0.190571 3.89676 0.354251 5 1.67304 0 0
3.5e-08 4.006 0.190762 3.90048 0.354589 5 1.66471 0 0
3.51e-08 4.01 0.190952 3.90419 0.354926 5 1.65643 0 0
3.52e-08 4.01397 0.191142 3.90787 0.355261 5 1.64819 0 0
3.53e-08 4.01793 0.19133 3.91153 0.355594 5 1.63999 0 0
3.54e-08 4.02186 0.191517 3.91518 0.355925 5 1.63183 0 0
3.55e-08 4.02577 0.191704 3.9188 0.356255 5 1.62371 0 0
3.56e-08 4.02967 0.191889 3.92241 0.356583 5 1.61563 0 0
3.57e-08 4.03354 0.192073 3.92599 0.356909 5 1.6076 0 0
3.58e-08 4.03739 0.192257 3.92956 0.357233 5 1.5996 0 0
3.59e-08 4.04122 0.192439 3.93311 0.357555 5 1.59164 0 0
